id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion,tiempo_procesamiento,estado
30,2024-01-01 09:00:00,5,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:19.259493,2025-04-25 21:40:19.259504,1.067,completed
31,2024-01-01 09:00:00,3,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:13.100483,2025-04-25 21:40:13.100494,2.44,completed
32,2024-01-01 09:00:00,2,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:05.647974,2025-04-25 21:40:05.647982,0.026,completed
33,2024-01-01 08:40:00,1,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:03.283738,2025-04-25 21:40:03.283742,1.815,completed
34,2024-01-01 10:00:00,2,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:06.351546,2025-04-25 21:40:06.351556,0.702,completed
35,2024-01-01 08:00:00,1,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:04.818706,2025-04-25 21:40:04.818725,2.707,completed
36,2024-01-01 10:00:00,3,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 21:40:12.786713,2025-04-25 21:40:12.786733,1.746,completed
37,2024-01-01 10:00:00,5,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:21.385506,2025-04-25 21:40:21.385517,2.537,completed
38,2024-01-01 09:00:00,4,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:16.581894,2025-04-25 21:40:16.581904,1.478,completed
39,2024-02-01 08:40:00,1,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 21:40:05.510701,2025-04-25 21:40:05.510709,2.226,completed
40,2024-01-01 09:00:00,3,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 21:40:12.063763,2025-04-25 21:40:12.063779,0.257,completed
